,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.verified,venue.stats.tipCount,venue.stats.usersCount,venue.stats.checkinsCount,venue.stats.visitsCount,venue.beenHere.count,venue.beenHere.lastCheckinExpiredAt,venue.beenHere.marked,venue.beenHere.unconfirmedCount,venue.photos.count,venue.photos.groups,venue.hereNow.count,venue.hereNow.summary,venue.hereNow.groups,venue.venuePage.id,venue.location.crossStreet,venue.location.neighborhood
10,e-0-4b1adfe1f964a520b5f323e3-10,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b1adfe1f964a520b5f323e3,Möwe Sturzflug,Clemens-Schultz-Str. 96,53.552326205427335,9.965133454246926,"[{'label': 'display', 'lat': 53.552326205427335, 'lng': 9.965133454246926}]",2288,20359,DE,Hamburg,Hamburg,Deutschland,"['Clemens-Schultz-Str. 96 (Detlef-Bremer-Str.)', '20359 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d11e941735', 'name': 'Cocktail Bar', 'pluralName': 'Cocktail Bars', 'shortName': 'Cocktail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,Detlef-Bremer-Str.,
11,e-0-4dbc445e1e72b351caae1109-11,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4dbc445e1e72b351caae1109,Aalhaus,Eggerstedtstr. 39,53.559399142071506,9.946953251787459,"[{'label': 'display', 'lat': 53.559399142071506, 'lng': 9.946953251787459}]",3527,22765,DE,Hamburg,Hamburg,Deutschland,"['Eggerstedtstr. 39', '22765 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
12,e-0-4d4dc0d7d6f3224bb2de9fa6-12,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d4dc0d7d6f3224bb2de9fa6,Hr. Schmöll,Paul-Roosen-Str. 19,53.55303510727818,9.958499536594601,"[{'label': 'display', 'lat': 53.55303510727818, 'lng': 9.958499536594601}]",2720,22767,DE,Hamburg,Hamburg,Deutschland,"['Paul-Roosen-Str. 19', '22767 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
13,e-0-4e00d2ae62843b639cf9a040-13,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e00d2ae62843b639cf9a040,The Bar,Hotel Vier Jahreszeiten,53.55549366381162,9.991845491590142,"[{'label': 'display', 'lat': 53.55549366381162, 'lng': 9.991845491590142}]",530,20354,DE,Hamburg,Hamburg,Deutschland,"['Hotel Vier Jahreszeiten', '20354 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
14,e-0-4b05885af964a52029c022e3-14,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b05885af964a52029c022e3,Red Dog,Krugkoppel 1,53.57903639296324,9.99833391961659,"[{'label': 'display', 'lat': 53.57903639296324, 'lng': 9.99833391961659}]",2762,20149,DE,Hamburg,Hamburg,Deutschland,"['Krugkoppel 1 (Harvestehuder Weg)', '20149 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,Harvestehuder Weg,
15,e-0-4b05885bf964a52040c022e3-15,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b05885bf964a52040c022e3,Zum Silbersack,Silbersackstr. 9,53.54897259360466,9.959997058617324,"[{'label': 'display', 'lat': 53.54897259360466, 'lng': 9.959997058617324}]",2682,20359,DE,Hamburg,Hamburg,Deutschland,"['Silbersackstr. 9', '20359 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
16,e-0-4d8b97ca92e6a0936728d08b-16,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d8b97ca92e6a0936728d08b,Tortuga Bar,Bleicherstr. 27,53.5538668375428,9.960291140147804,"[{'label': 'display', 'lat': 53.5538668375428, 'lng': 9.960291140147804}]",2598,,DE,Hamburg,Hamburg,Deutschland,"['Bleicherstr. 27', 'Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
17,e-0-4b54c57bf964a520a4cb27e3-17,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b54c57bf964a520a4cb27e3,Die Bank,Hohe Bleichen 17,53.55350146971234,9.98722585588909,"[{'label': 'display', 'lat': 53.55350146971234, 'lng': 9.98722585588909}]",821,20354,DE,Hamburg,Hamburg,Deutschland,"['Hohe Bleichen 17', '20354 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
18,e-0-4b197bd2f964a5202bde23e3-18,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b197bd2f964a5202bde23e3,3 Zimmer Wohnung,Talstr. 22,53.55066573492654,9.960161665462204,"[{'label': 'display', 'lat': 53.55066573492654, 'lng': 9.960161665462204}]",2637,20359,DE,Hamburg,Hamburg,Deutschland,"['Talstr. 22', '20359 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
19,e-0-4ec56e28775b7dea87c72a79-19,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ec56e28775b7dea87c72a79,Deichdiele,Veringstr. 156,53.505420384109705,9.986052079564017,"[{'label': 'display', 'lat': 53.505420384109705, 'lng': 9.986052079564017}]",5507,21107,DE,Hamburg,Hamburg,Deutschland,"['Veringstr. 156', '21107 Hamburg', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,Hamburg-Wilhelmsburg
