,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.verified,venue.stats.tipCount,venue.stats.usersCount,venue.stats.checkinsCount,venue.stats.visitsCount,venue.beenHere.count,venue.beenHere.lastCheckinExpiredAt,venue.beenHere.marked,venue.beenHere.unconfirmedCount,venue.photos.count,venue.photos.groups,venue.hereNow.count,venue.hereNow.summary,venue.hereNow.groups,venue.location.crossStreet,venue.location.neighborhood,venue.venuePage.id
20,e-0-546b7f51498e0980010ef106-20,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",546b7f51498e0980010ef106,Rock & Wurst,Am Dobben 35,53.07709889854039,8.823712699590903,"[{'label': 'display', 'lat': 53.07709889854039, 'lng': 8.823712699590903}]",1115,28203,DE,Bremen,Bremen,Deutschland,"['Am Dobben 35', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
21,e-0-4c2fb496213c2d7fff5e315d-21,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c2fb496213c2d7fff5e315d,Lemans,Keplerstr. 36,53.07635370371252,8.828083057502116,"[{'label': 'display', 'lat': 53.07635370371252, 'lng': 8.828083057502116}]",1400,28203,DE,Bremen,Bremen,Deutschland,"['Keplerstr. 36 (Feldstr.)', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Feldstr.,,
22,e-0-5659e464498e511a292a9021-22,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5659e464498e511a292a9021,PAPP,Friedrich-Ebert-Str. 1,53.07179161124323,8.801635993947148,"[{'label': 'display', 'lat': 53.07179161124323, 'lng': 8.801635993947148}]",581,28199,DE,Bremen,Bremen,Deutschland,"['Friedrich-Ebert-Str. 1 (Osterstraße)', '28199 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Osterstraße,,
23,e-0-4b43212cf964a52070dc25e3-23,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b43212cf964a52070dc25e3,Lilie,Hemmstr. 159,53.09377734043077,8.805836615454927,"[{'label': 'display', 'lat': 53.09377734043077, 'lng': 8.805836615454927}]",2001,28215,DE,Bremen,Bremen,Deutschland,"['Hemmstr. 159 (Lilienthaler Str.)', '28215 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Lilienthaler Str.,,
24,e-0-4e11fe36483bee47ff36a235-24,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e11fe36483bee47ff36a235,El Mundo,Konsul-Smidt-Str. 10a,53.089229270056926,8.776678183109745,"[{'label': 'display', 'lat': 53.089229270056926, 'lng': 8.776678183109745}]",2526,28217,DE,Bremen,Bremen,Deutschland,"['Konsul-Smidt-Str. 10a', '28217 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d1c4941735', 'name': 'Restaurant', 'pluralName': 'Restaurants', 'shortName': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
25,e-0-504a5a3ce4b095865769f51f-25,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",504a5a3ce4b095865769f51f,Im Lu,,53.072990133947066,8.823169389648697,"[{'label': 'display', 'lat': 53.072990133947066, 'lng': 8.823169389648697}]",1115,28203,DE,Bremen,Bremen,Deutschland,"['28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d11e941735', 'name': 'Cocktail Bar', 'pluralName': 'Cocktail Bars', 'shortName': 'Cocktail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
26,e-0-5804a985d67c98500554efe4-26,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5804a985d67c98500554efe4,Muchos más,Am Wall 136,53.079251,8.807398,"[{'label': 'display', 'lat': 53.079251, 'lng': 8.807398}]",382,28195,DE,Bremen,Bremen,Deutschland,"['Am Wall 136', '28195 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d1db931735', 'name': 'Tapas Restaurant', 'pluralName': 'Tapas Restaurants', 'shortName': 'Tapas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tapas_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,Altstadt,
27,e-0-4c238bb79a67a593da36de87-27,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c238bb79a67a593da36de87,Bestial,Schwachhauser Heerstr. 280,53.09154335525655,8.871297133078173,"[{'label': 'display', 'lat': 53.09154335525655, 'lng': 8.871297133078173}]",4631,28359,DE,Bremen,Bremen,Deutschland,"['Schwachhauser Heerstr. 280', '28359 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
28,e-0-4beead5bd355a59387230b60-28,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4beead5bd355a59387230b60,Red Rock,Schlachte 22,53.07697496228093,8.801412340898759,"[{'label': 'display', 'lat': 53.07697496228093, 'lng': 8.801412340898759}]",405,28195,DE,Bremen,Bremen,Deutschland,"['Schlachte 22', '28195 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d11b941735', 'name': 'Pub', 'pluralName': 'Pubs', 'shortName': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
29,e-0-53a346f1498ea2646965b939-29,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",53a346f1498ea2646965b939,ChinChilla,Sielwall,53.07279351087839,8.823306518488227,"[{'label': 'display', 'lat': 53.07279351087839, 'lng': 8.823306518488227}]",1130,28203,DE,Bremen,Bremen,Deutschland,"['Sielwall', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d11e941735', 'name': 'Cocktail Bar', 'pluralName': 'Cocktail Bars', 'shortName': 'Cocktail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
