ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
"02","1","07","119","2018","05","11","2","3","3","6","0","0","0","0","1","0","1","0",568735.85089999996,5934229.94139999989,10.03752935900,53.55245360400
"02","1","07","120","2018","06","22","4","3","5","7","2","1","1","0","0","0","0","0",568010.21389999997,5934386.54250000045,10.02661228200,53.55395550300
"02","1","06","117","2018","06","20","7","2","5","3","0","0","0","0","0","0","1","1",567966.80599999998,5934094.34769999981,10.02589363400,53.55133512600
"02","1","07","119","2018","06","11","3","3","5","3","0","0","1","0","0","0","0","0",568674.69730000000,5934508.29310000036,10.03666759200,53.55496318600
"02","1","05","113","2018","06","17","5","3","5","3","0","1","1","0","0","0","0","1",567886.35889999999,5934417.25200000033,10.02474969200,53.55424752400
"02","1","07","119","2018","06","15","3","3","5","3","0","1","1","0","0","0","0","0",568211.75740000000,5934242.38850000035,10.02962258400,53.55263382300
"02","1","07","119","2018","07","18","1","3","0","1","0","0","0","0","1","0","0","0",568149.63060000003,5934195.09150000010,10.02867466700,53.55221682600
"02","1","07","119","2018","07","15","2","3","5","3","0","1","1","0","0","0","0","0",568577.00000000000,5934221.10969999991,10.03513008600,53.55239500600
"02","1","07","119","2018","07","08","3","3","3","6","0","0","1","0","0","0","0","0",568221.68559999997,5934192.50629999954,10.02976153300,53.55218423400
"02","1","07","120","2018","07","10","2","3","5","3","0","1","1","0","0","0","0","0",568009.34479999996,5934382.18709999975,10.02659821800,53.55391647300
"02","1","07","119","2018","08","20","2","3","2","2","0","0","1","0","0","0","1","1",568700.42009999999,5934227.09430000000,10.03699402100,53.55243265400
"02","1","07","119","2018","07","17","5","3","2","6","0","0","1","0","0","0","1","0",568501.99250000005,5934215.41019999981,10.03399684500,53.55235357600
"02","1","06","117","2018","08","15","5","3","5","3","0","1","1","0","0","0","0","0",568021.59790000005,5933934.84470000025,10.02668582000,53.54989455300
