Date,Count
2017-01-24,29
2017-01-25,27
2017-01-26,35
2017-01-27,34
2017-01-28,18
2017-01-29,3
2017-01-30,35
2017-01-31,25
2017-02-01,20
2017-02-02,33
2017-02-03,19
2017-02-04,16
2017-02-05,15
2017-02-06,21
2017-02-07,20
2017-02-08,21
2017-02-09,25
2017-02-10,16
2017-02-11,15
2017-02-12,8
2017-02-13,29
2017-02-14,38
2017-02-15,25
2017-02-16,29
2017-02-17,32
2017-02-18,16
2017-02-19,7
2017-02-20,20
2017-02-21,25
2017-02-22,26
2017-02-23,32
2017-02-24,50
2017-02-25,13
2017-02-26,12
2017-02-27,26
2017-02-28,38
2017-03-01,40
2017-03-02,39
2017-03-03,39
2017-03-04,12
2017-03-05,12
2017-03-06,28
2017-03-07,23
2017-03-08,30
2017-03-09,26
2017-03-10,31
2017-03-11,11
2017-03-12,5
2017-03-13,20
2017-03-14,28
2017-03-15,41
2017-03-16,28
2017-03-17,23
2017-03-18,10
2017-03-19,6
2017-03-20,36
2017-03-21,48
2017-03-22,35
2017-03-23,30
2017-03-24,47
2017-03-25,20
2017-03-26,9
2017-03-27,27
2017-03-28,33
2017-03-29,38
2017-03-30,27
2017-03-31,26
2017-04-01,19
2017-04-02,5
2017-04-03,36
2017-04-04,44
2017-04-05,32
2017-04-06,40
2017-04-07,32
2017-04-08,11
2017-04-09,9
2017-04-10,27
2017-04-11,22
2017-04-12,27
2017-04-13,37
2017-04-14,6
2017-04-15,14
2017-04-16,16
2017-04-17,8
2017-04-18,30
2017-04-19,18
2017-04-20,28
2017-04-21,25
2017-04-22,16
2017-04-23,10
2017-04-24,35
2017-04-25,31
2017-04-26,29
2017-04-27,37
2017-04-28,34
2017-04-29,17
2017-04-30,6
2017-05-01,2
2017-05-02,34
2017-05-03,31
2017-05-04,42
2017-05-05,25
2017-05-06,19
2017-05-07,11
2017-05-08,31
2017-05-09,25
2017-05-10,19
2017-05-11,36
2017-05-12,28
2017-05-13,23
2017-05-14,13
2017-05-15,36
2017-05-16,31
2017-05-17,29
2017-05-18,25
2017-05-19,31
2017-05-20,17
2017-05-21,10
2017-05-22,27
2017-05-23,23
2017-05-24,19
2017-05-25,10
2017-05-26,28
2017-05-27,22
2017-05-28,9
2017-05-29,32
2017-05-30,32
2017-05-31,32
2017-06-01,49
2017-06-02,39
2017-06-03,21
2017-06-04,6
2017-06-05,9
2017-06-06,29
2017-06-07,51
2017-06-08,39
2017-06-09,26
2017-06-10,19
2017-06-11,11
2017-06-12,18
2017-06-13,21
2017-06-14,40
2017-06-15,42
2017-06-16,38
2017-06-17,12
2017-06-18,9
2017-06-19,38
2017-06-20,31
2017-06-21,33
2017-06-22,36
2017-06-23,34
2017-06-24,12
2017-06-25,14
2017-06-26,36
2017-06-27,32
2017-06-28,36
2017-06-29,37
2017-06-30,35
2017-07-01,15
2017-07-02,5
2017-07-03,27
2017-07-04,20
2017-07-05,22
2017-07-06,15
2017-07-07,31
2017-07-08,22
2017-07-09,8
2017-07-10,24
2017-07-11,31
2017-07-12,46
2017-07-13,33
2017-07-14,24
2017-07-15,12
2017-07-16,4
2017-07-17,14
2017-07-18,25
2017-07-19,17
2017-07-20,22
2017-07-21,21
2017-07-22,9
2017-07-23,9
2017-07-24,30
2017-07-25,18
2017-07-26,24
2017-07-27,25
2017-07-28,25
2017-07-29,24
2017-07-30,5
2017-07-31,37
2017-08-01,18
2017-08-02,26
2017-08-03,36
2017-08-04,26
2017-08-05,14
2017-08-06,9
2017-08-07,39
2017-08-08,29
2017-08-09,29
2017-08-10,39
2017-08-11,36
2017-08-12,28
2017-08-13,9
2017-08-14,41
2017-08-15,24
2017-08-16,27
2017-08-17,46
2017-08-18,26
2017-08-19,27
2017-08-20,9
2017-08-21,40
2017-08-22,30
2017-08-23,33
2017-08-24,37
2017-08-25,18
2017-08-26,20
2017-08-27,6
2017-08-28,36
2017-08-29,36
2017-08-30,33
2017-08-31,47
2017-09-01,32
2017-09-02,16
2017-09-03,11
2017-09-04,29
2017-09-05,24
2017-09-06,36
2017-09-07,21
2017-09-08,44
2017-09-09,19
2017-09-10,8
2017-09-11,26
2017-09-12,32
2017-09-13,36
2017-09-14,35
2017-09-15,31
2017-09-16,15
2017-09-17,18
2017-09-18,26
2017-09-19,23
2017-09-20,16
2017-09-21,22
2017-09-22,31
2017-09-23,8
2017-09-24,17
2017-09-25,30
2017-09-26,26
2017-09-27,28
2017-09-28,22
2017-09-29,36
2017-09-30,25
2017-10-01,14
2017-10-02,33
2017-10-03,4
2017-10-04,19
2017-10-05,45
2017-10-06,44
2017-10-07,20
2017-10-08,8
2017-10-09,41
2017-10-10,23
2017-10-11,25
2017-10-12,25
2017-10-13,32
2017-10-14,9
2017-10-15,20
2017-10-16,39
2017-10-17,30
2017-10-18,34
2017-10-19,28
2017-10-20,25
2017-10-21,25
2017-10-22,15
2017-10-23,39
2017-10-24,35
2017-10-25,27
2017-10-26,30
2017-10-27,38
2017-10-28,21
2017-10-29,10
2017-10-30,34
2017-10-31,12
2017-11-01,51
2017-11-02,32
2017-11-03,32
2017-11-04,16
2017-11-05,11
2017-11-06,33
2017-11-07,28
