Date,Count
1/7/2017,56
1/8/2017,8
1/9/2017,17
1/10/2017,25
1/11/2017,20
1/12/2017,30
1/13/2017,28
1/14/2017,17
1/15/2017,11
1/16/2017,22
1/17/2017,22
1/18/2017,17
1/19/2017,39
1/20/2017,27
1/21/2017,10
1/22/2017,13
1/23/2017,29
1/24/2017,29
1/25/2017,27
1/26/2017,35
1/27/2017,34
1/28/2017,18
1/29/2017,3
1/30/2017,35
1/31/2017,25
2/1/2017,20
2/2/2017,33
2/3/2017,19
2/4/2017,16
2/5/2017,15
2/6/2017,21
2/7/2017,20
2/8/2017,21
2/9/2017,25
2/10/2017,16
2/11/2017,15
2/12/2017,8
2/13/2017,29
2/14/2017,38
2/15/2017,25
2/16/2017,29
2/17/2017,32
2/18/2017,16
2/19/2017,7
2/20/2017,20
2/21/2017,25
2/22/2017,26
2/23/2017,32
2/24/2017,50
2/25/2017,13
2/26/2017,12
2/27/2017,26
2/28/2017,38
3/1/2017,40
3/2/2017,39
3/3/2017,39
3/4/2017,12
3/5/2017,12
3/6/2017,28
3/7/2017,23
3/8/2017,30
3/9/2017,26
3/10/2017,31
3/11/2017,11
3/12/2017,5
3/13/2017,20
3/14/2017,28
3/15/2017,41
3/16/2017,28
3/17/2017,23
3/18/2017,10
3/19/2017,6
3/20/2017,36
3/21/2017,48
3/22/2017,35
3/23/2017,30
3/24/2017,47
3/25/2017,20
3/26/2017,9
3/27/2017,27
3/28/2017,33
3/29/2017,38
3/30/2017,27
3/31/2017,26
4/1/2017,19
4/2/2017,5
4/3/2017,36
4/4/2017,44
4/5/2017,32
4/6/2017,40
4/7/2017,32
4/8/2017,11
4/9/2017,9
4/10/2017,27
4/11/2017,22
4/12/2017,27
4/13/2017,37
4/14/2017,6
4/15/2017,14
4/16/2017,16
4/17/2017,8
4/18/2017,30
4/19/2017,18
4/20/2017,28
4/21/2017,25
4/22/2017,16
4/23/2017,10
4/24/2017,35
4/25/2017,31
4/26/2017,29
4/27/2017,37
4/28/2017,34
4/29/2017,17
4/30/2017,6
5/1/2017,2
5/2/2017,34
5/3/2017,31
5/4/2017,42
5/5/2017,25
5/6/2017,19
5/7/2017,11
5/8/2017,31
5/9/2017,25
5/10/2017,19
5/11/2017,36
5/12/2017,28
5/13/2017,23
5/14/2017,13
5/15/2017,36
5/16/2017,31
5/17/2017,29
5/18/2017,25
5/19/2017,31
5/20/2017,17
5/21/2017,10
5/22/2017,27
5/23/2017,23
5/24/2017,19
5/25/2017,10
5/26/2017,28
5/27/2017,22
5/28/2017,9
5/29/2017,32
5/30/2017,32
5/31/2017,32
6/1/2017,49
6/2/2017,39
6/3/2017,21
6/4/2017,6
6/5/2017,9
6/6/2017,29
6/7/2017,51
6/8/2017,39
6/9/2017,26
6/10/2017,19
6/11/2017,11
6/12/2017,18
6/13/2017,21
6/14/2017,40
6/15/2017,42
6/16/2017,38
6/17/2017,12
6/18/2017,9
6/19/2017,38
6/20/2017,31
6/21/2017,33
6/22/2017,36
6/23/2017,34
6/24/2017,12
6/25/2017,14
6/26/2017,36
6/27/2017,32
6/28/2017,36
6/29/2017,37
6/30/2017,35
7/1/2017,15
7/2/2017,5
7/3/2017,27
7/4/2017,20
7/5/2017,22
7/6/2017,15
7/7/2017,31
7/8/2017,22
7/9/2017,8
7/10/2017,24
7/11/2017,31
7/12/2017,46
7/13/2017,33
7/14/2017,24
7/15/2017,12
7/16/2017,4
7/17/2017,14
7/18/2017,25
7/19/2017,17
7/20/2017,22
7/21/2017,21
7/22/2017,9
7/23/2017,9
7/24/2017,30
7/25/2017,18
7/26/2017,24
7/27/2017,25
7/28/2017,25
7/29/2017,24
7/30/2017,5
7/31/2017,37
8/1/2017,18
8/2/2017,26
8/3/2017,36
8/4/2017,26
8/5/2017,14
8/6/2017,9
8/7/2017,39
8/8/2017,29
8/9/2017,29
8/10/2017,39
8/11/2017,36
8/12/2017,28
8/13/2017,9
8/14/2017,41
8/15/2017,24
8/16/2017,27
8/17/2017,46
8/18/2017,26
8/19/2017,27
8/20/2017,9
8/21/2017,40
8/22/2017,30
8/23/2017,33
8/24/2017,37
8/25/2017,18
8/26/2017,20
8/27/2017,6
8/28/2017,36
8/29/2017,36
8/30/2017,33
8/31/2017,47
9/1/2017,32
9/2/2017,16
9/3/2017,11
9/4/2017,29
9/5/2017,24
9/6/2017,36
9/7/2017,21
9/8/2017,44
9/9/2017,19
9/10/2017,8
9/11/2017,26
9/12/2017,32
9/13/2017,36
9/14/2017,35
9/15/2017,31
9/16/2017,15
9/17/2017,18
9/18/2017,26
9/19/2017,23
9/20/2017,16
9/21/2017,22
9/22/2017,31
9/23/2017,8
9/24/2017,17
9/25/2017,30
9/26/2017,26
9/27/2017,28
9/28/2017,22
9/29/2017,36
9/30/2017,25
10/1/2017,14
10/2/2017,33
10/3/2017,4
10/4/2017,19
10/5/2017,45
10/6/2017,44
10/7/2017,20
10/8/2017,8
10/9/2017,41
10/10/2017,23
10/11/2017,25
10/12/2017,25
10/13/2017,32
10/14/2017,9
10/15/2017,20
10/16/2017,39
10/17/2017,30
10/18/2017,34
10/19/2017,28
10/20/2017,25
10/21/2017,25
10/22/2017,15
10/23/2017,39
10/24/2017,35
10/25/2017,27
10/26/2017,30
10/27/2017,38
10/28/2017,21
10/29/2017,10
10/30/2017,34
10/31/2017,12
11/1/2017,51
11/2/2017,32
11/3/2017,32
11/4/2017,16
11/5/2017,11
11/6/2017,33
11/7/2017,28
11/8/2017,18
11/9/2017,28
11/10/2017,25
11/11/2017,22
11/12/2017,7
11/13/2017,42
11/14/2017,29
11/15/2017,35
11/16/2017,37
11/17/2017,45
11/18/2017,21
11/19/2017,15
11/20/2017,52
11/21/2017,42
11/22/2017,22
11/23/2017,29
11/24/2017,45
11/25/2017,24
11/26/2017,12
11/27/2017,27
11/28/2017,44
11/29/2017,22
11/30/2017,35
12/1/2017,35
12/2/2017,17
12/3/2017,11
12/4/2017,53
12/5/2017,40
12/6/2017,32
12/7/2017,39
12/8/2017,30
12/9/2017,20
12/10/2017,25
12/11/2017,28
12/12/2017,31
12/13/2017,33
12/14/2017,46
12/15/2017,33
12/16/2017,19
12/17/2017,6
12/18/2017,22
12/19/2017,34
12/20/2017,47
12/21/2017,17
12/22/2017,24
12/23/2017,14
12/24/2017,6
12/25/2017,6
12/26/2017,8
12/27/2017,10
12/28/2017,18
12/29/2017,17
12/30/2017,11
12/31/2017,8
1/1/2018,10
1/2/2018,26
1/3/2018,21
1/4/2018,21
1/5/2018,24
1/6/2018,15
1/7/2018,18
1/8/2018,20
1/9/2018,19
1/10/2018,29
1/11/2018,26
1/12/2018,17
1/13/2018,13
1/14/2018,9
1/15/2018,20
1/16/2018,32
1/17/2018,31
1/18/2018,28
1/19/2018,32
1/20/2018,15
1/21/2018,10
1/22/2018,35
1/23/2018,31
1/24/2018,15
1/25/2018,17
1/26/2018,29
1/27/2018,18
1/28/2018,7
1/29/2018,38
1/30/2018,23
1/31/2018,30
2/1/2018,35
2/2/2018,29
2/3/2018,18
2/4/2018,10
2/5/2018,29
2/6/2018,42
2/7/2018,31
2/8/2018,45
2/9/2018,36
2/10/2018,19
2/11/2018,12
2/12/2018,28
2/13/2018,31
2/14/2018,28
2/15/2018,25
2/16/2018,22
2/17/2018,11
2/18/2018,11
2/19/2018,18
2/20/2018,24
2/21/2018,23
2/22/2018,35
2/23/2018,33
2/24/2018,10
2/25/2018,4
2/26/2018,31
2/27/2018,35
2/28/2018,28
3/1/2018,26
3/2/2018,38
3/3/2018,18
3/4/2018,6
3/5/2018,42
3/6/2018,30
3/7/2018,21
3/8/2018,26
3/9/2018,23
3/10/2018,18
3/11/2018,15
3/12/2018,17
3/13/2018,22
3/14/2018,16
3/15/2018,29
3/16/2018,16
3/17/2018,7
3/18/2018,8
3/19/2018,28
3/20/2018,32
3/21/2018,21
3/22/2018,23
3/23/2018,41
3/24/2018,14
3/25/2018,8
3/26/2018,24
3/27/2018,24
3/28/2018,26
3/29/2018,31
3/30/2018,12
3/31/2018,25
