OBJECTID_1,OBJECTID,Admin0,Admin1,Admin2,Admin3,Year,Month,Day,DayofWeek,AccCategory,KindoCollision,TypeoAccident,LightingCond,RoadCondition,Bicycle,PassengerCar,Pedestrian,Motorcycle/Scooter,HGV,OtherAccidents,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
5909,98593,2,4,5,413,2016,9,16,6,3,3,6,0,0,1,1,0,0,0,0,566861.5943,5937096.717,10.00985696,53.57845986
5910,98594,2,3,7,319,2016,10,13,7,3,5,2,0,0,1,1,0,0,0,0,559399.3145,5942194.25,9.898136523,53.62517168
5911,98595,2,4,5,409,2016,9,10,6,3,3,2,0,0,0,1,0,1,0,0,565837.9724,5939042.324,9.99480965,53.59607488
5912,98596,2,5,6,514,2016,10,2,1,3,1,7,2,0,0,1,0,0,0,1,574296.2377,5940789.695,10.12300484,53.61064753
5913,98597,2,1,8,125,2016,10,11,4,3,6,7,0,0,0,1,1,0,0,0,570662.0086,5934277.786,10.06660899,53.55262787
5914,98598,2,4,3,406,2016,10,7,4,3,5,3,0,0,1,0,0,0,0,1,564641.8751,5940372.525,9.977015429,53.60817854
5915,98599,2,4,13,432,2016,10,6,4,3,6,3,2,0,1,0,1,0,0,0,567226.9512,5944998.272,10.01707961,53.64942511
5916,98600,2,7,9,710,2016,10,12,2,3,6,4,0,0,0,1,1,0,0,0,563403.1098,5923466.678,9.954870911,53.45639083
5917,98601,2,2,6,218,2016,10,19,2,3,0,3,1,1,0,0,1,0,0,1,558273.091,5935521.104,9.879862875,53.56532356
5918,98602,2,1,17,138,2016,10,7,3,3,2,6,0,1,0,1,0,0,1,0,565193.3373,5931374.764,9.983471056,53.52724516
5919,98603,2,5,10,518,2016,10,17,7,3,5,3,0,0,1,1,0,0,0,0,573118.0627,5944551.677,10.10608393,53.64462148
5920,98604,2,7,3,704,2016,10,16,5,3,6,4,0,0,0,1,1,0,0,0,567055.2699,5922968.589,10.00975828,53.45146215
5921,98605,2,7,14,715,2016,10,14,3,3,2,7,0,0,0,1,0,0,1,0,556176.125,5924899.466,9.846300174,53.47008855
5922,98606,2,4,10,427,2016,9,16,6,2,6,4,0,0,1,0,1,0,0,0,569097.7454,5938562.542,10.04394964,53.59134349
5923,98607,2,1,8,126,2016,10,13,6,3,5,7,0,0,0,1,0,1,0,0,569307.9774,5933811.275,10.04607091,53.54861579
5924,98608,2,1,3,108,2016,10,19,6,3,5,4,1,0,1,0,1,0,0,0,565189.0144,5934537.122,9.984064806,53.55566671
5925,98609,2,4,2,405,2016,9,21,6,3,3,6,2,0,1,0,0,0,0,0,564938.2643,5939089.88,9.9812272,53.59661451
5926,98610,2,1,1,102,2016,10,12,5,3,2,6,0,0,1,1,0,0,0,0,566062.2169,5933523.04,9.997029848,53.54644375
5927,98611,2,3,8,320,2016,10,18,3,3,0,6,0,0,1,0,0,0,0,1,559941.7823,5939945.789,9.905904967,53.6049021
5928,98612,2,5,4,512,2016,10,14,3,3,2,6,0,1,0,1,0,0,0,0,574691.1629,5937258.571,10.12812722,53.57885793
5929,98613,2,1,17,138,2016,10,10,3,3,2,6,0,0,0,1,0,0,0,1,566589.4325,5930636.442,10.00437128,53.52043462
5930,98614,2,2,11,223,2016,10,15,3,3,5,3,0,0,0,1,0,1,0,0,554730.4714,5935374.573,9.826353655,53.56438804
5931,98615,2,2,5,215,2016,10,13,4,3,5,3,0,0,0,1,0,0,0,0,561733.9103,5935667.777,9.932139236,53.56624604
5932,98616,2,7,1,702,2016,10,8,4,3,0,7,0,0,0,1,0,0,0,0,565895.3297,5925120.808,9.992745256,53.47095129
5933,98617,2,4,2,403,2016,10,6,4,3,6,4,2,1,0,1,1,0,0,0,564861.3674,5938764.667,9.979997819,53.59370127
5934,98618,2,5,6,514,2016,10,12,2,3,3,6,0,0,0,1,0,1,0,0,573830.4608,5939921.067,10.11576019,53.60290719
5935,98619,2,4,4,407,2016,10,23,1,3,5,3,2,1,1,1,0,0,0,0,566644.1684,5940524.89,10.00730618,53.60929701
5936,98620,2,3,8,320,2016,10,18,2,3,1,6,2,0,0,1,0,0,0,0,559712.2363,5938545.396,9.902168084,53.59234241
5937,98621,2,7,1,702,2016,10,9,6,2,4,6,0,0,1,0,0,1,0,0,565205.317,5923691.892,9.982055111,53.45819495
5938,98622,2,5,2,508,2016,10,7,5,3,4,2,0,0,0,1,0,0,0,0,572847.1657,5937861.629,10.10042216,53.5845369
5939,98623,2,4,13,432,2016,10,17,1,3,5,3,0,0,0,1,0,1,0,0,567152.7213,5947535.441,10.0165053,53.67223621
5940,98624,2,6,2,602,2016,10,15,3,3,5,3,0,0,0,1,0,0,0,0,578442.2664,5926111.554,10.18197777,53.47813534
5941,98625,2,5,7,515,2016,10,21,6,3,2,6,2,0,0,1,0,0,0,0,571531.9001,5940276.657,10.0811118,53.60642164
5942,98626,2,5,8,516,2016,10,13,6,3,5,3,0,1,1,1,0,0,0,0,569054.6266,5940842.347,10.04380335,53.61183784
5943,98627,2,4,7,416,2016,10,19,1,2,9,1,2,1,0,1,0,0,0,0,567675.023,5934974.376,10.02168075,53.55928177
5944,98628,2,1,11,129,2016,10,16,5,2,0,1,1,1,0,0,0,1,0,0,572911.944,5934552.268,10.10062792,53.55478698
5945,98629,2,3,4,315,2016,9,8,6,3,3,2,0,0,1,1,0,0,0,0,564561.1111,5937105.412,9.975118599,53.57882621
5946,98630,2,1,1,101,2016,10,8,5,3,5,3,0,0,0,1,0,0,0,0,566658.7814,5933952.038,10.0061233,53.55022386
5947,98631,2,2,5,216,2016,10,8,3,3,5,3,0,0,0,1,0,0,0,0,560864.3599,5935507.957,9.918980359,53.56491125
5948,98632,2,5,7,515,2016,10,17,3,3,5,3,1,0,0,1,0,0,0,0,571714.751,5939859.171,10.08377874,53.60264474
5949,98633,2,5,18,526,2016,10,18,3,3,6,4,2,0,0,1,1,0,0,0,575423.2751,5942318.749,10.14040691,53.62422766
5950,98634,2,1,5,114,2016,10,15,1,3,6,4,0,0,0,1,1,0,0,0,567276.9505,5934459.892,10.0155614,53.55470919
5951,98635,2,4,10,426,2016,10,14,1,3,5,3,0,0,0,1,0,0,0,0,569728.4017,5937836.9,10.05331384,53.58473863
5952,98636,2,5,5,513,2016,10,18,1,3,4,2,2,0,0,1,0,0,0,1,572967.6569,5937357.861,10.10212414,53.57999284
5953,98637,2,3,9,321,2016,10,15,1,3,2,6,0,0,0,1,0,1,0,0,561205.7741,5938005.219,9.924624165,53.5873154
5954,98638,2,6,2,603,2016,10,15,3,3,6,6,0,0,0,1,1,0,0,0,580083.9778,5926146.467,10.20671823,53.47820192
5955,98639,2,2,10,222,2016,10,9,6,2,1,6,0,0,0,1,0,0,0,1,555183.2025,5934464.555,9.833027769,53.55616172
5956,98640,2,4,8,422,2016,10,14,6,3,0,3,0,1,1,0,0,0,0,0,568743.9012,5936926.843,10.03824428,53.57668987
5957,98641,2,1,8,122,2016,10,16,5,3,1,6,0,1,0,1,0,0,0,0,569886.375,5934580.932,10.05497114,53.55545609
5958,98642,2,2,8,220,2016,10,7,5,3,4,2,1,1,0,1,0,0,0,0,556967.652,5939133.164,9.86081391,53.59793041
5959,98643,2,4,8,423,2016,10,12,3,2,3,6,0,0,1,0,0,0,0,0,569078.533,5937468.225,10.04341714,53.58151134
5960,98644,2,4,13,432,2016,10,10,7,3,5,3,0,0,1,1,0,0,0,0,567861.0692,5947582.004,10.02723601,53.67256319
5961,98645,2,1,4,111,2016,9,2,6,3,6,4,2,1,0,1,1,0,0,0,563688.0379,5933974.11,9.96129557,53.55079098
5962,98646,2,1,3,106,2016,10,17,1,2,6,7,0,1,0,1,1,0,0,0,564804.9445,5933731.142,9.978100924,53.54847069
5963,98647,2,6,2,602,2016,10,7,4,3,6,2,0,0,0,1,1,0,0,0,580633.656,5927534.334,10.21535531,53.49059031
5964,98648,2,5,7,515,2016,10,14,4,3,4,3,0,0,1,1,0,0,0,0,573249.7861,5942839.37,10.10767293,53.62921492
5965,98649,2,3,2,312,2016,10,16,3,3,0,7,0,1,1,1,0,0,0,0,565949.4437,5936291.724,9.995912387,53.57134071
5966,98650,2,4,8,423,2016,10,21,2,3,5,3,2,1,0,1,0,0,0,0,568932.9059,5937272.982,10.04117475,53.57977584
5967,98651,2,2,1,206,2016,10,9,3,3,4,2,0,0,0,1,0,0,0,0,562885.4661,5934829.803,9.949355677,53.55857814
5968,98652,2,2,1,201,2016,10,17,5,3,1,5,0,0,1,1,0,0,0,0,563180.6639,5933534.16,9.95354964,53.5468983
5969,98653,2,7,4,705,2016,10,7,5,2,5,2,1,0,0,1,0,0,0,0,565575.8201,5922806.209,9.98744966,53.45018897
5970,98654,2,2,8,220,2016,10,14,5,3,2,6,0,0,0,1,0,0,0,1,558853.4984,5939519.146,9.889379284,53.60119104
