type_of_accident,lighting_conditions,road_conditions,impact_on_obstacle_next_to_the_road,location_innercity_extraurban,street_class,kind_of_accident,gender,feature_x,feature_y,day_of_week,vacation,month,hour_cat,age,casualty_age,casualty_gender,accident_categore,accident_severity
2,0,0,5,1,5.0,7,1.0,485756.2423,5883785.47,6,0,5,4,17,43,1.0,5.0,0.0
1,2,1,5,1,5.0,7,2.0,493396.7043,5880875.859,3,0,1,6,22,55,2.0,5.0,0.0
3,0,0,5,1,2.0,2,1.0,486126.3205,5878895.762,6,0,6,5,65,56,1.0,5.0,0.0
0,0,0,5,1,5.0,7,2.0,488999.2994,5876573.692000002,3,0,6,4,24,53,2.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,488839.7092,5880892.431,2,0,6,2,52,35,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,491332.2824,5882705.562999999,5,0,6,4,29,31,2.0,3.0,0.0
2,0,0,5,2,1.0,6,1.0,490055.8098,5875202.437999999,6,0,6,4,20,48,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,488076.2197,5879975.028,7,0,5,4,36,35,1.0,3.0,0.0
3,0,0,5,1,5.0,2,1.0,492071.2062,5878643.364,3,0,6,5,33,62,1.0,3.0,0.0
3,0,0,5,1,5.0,6,1.0,483314.2563,5884771.9739999985,5,0,6,4,48,67,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,482111.5854,5887303.351,4,0,7,4,33,36,1.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,474806.9059,5891183.427999998,4,0,7,2,56,44,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,485174.418,5879487.488,4,0,4,4,68,38,2.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,486359.6467,5881863.681,2,0,7,3,69,30,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,490485.6291,5880342.193,6,1,8,3,29,22,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,489234.7006,5879807.287000001,2,0,5,2,37,50,2.0,5.0,0.0
0,0,0,4,2,1.0,7,1.0,482406.4803,5881138.365,2,0,6,6,20,43,1.0,3.0,0.0
2,0,1,5,1,5.0,6,1.0,485050.1889,5883106.241,5,1,7,3,41,51,2.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,487523.5776,5877836.937000001,1,0,6,3,78,26,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,487382.1354,5881230.253,5,1,8,3,37,39,1.0,5.0,0.0
3,0,0,5,1,5.0,6,2.0,482586.6704,5878025.976,6,1,8,5,49,45,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,493300.6823,5880241.158,4,1,8,4,30,54,1.0,5.0,0.0
1,2,0,5,1,5.0,7,1.0,487148.8168,5882126.856000002,6,1,8,6,32,21,1.0,5.0,0.0
3,0,1,5,1,5.0,7,1.0,490113.2496,5880460.74,4,1,7,5,35,26,1.0,5.0,0.0
1,0,1,5,1,5.0,7,2.0,495651.3968,5882318.722,7,1,8,3,51,49,1.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,488434.4621,5881005.355,3,0,7,5,50,36,1.0,5.0,0.0
3,0,0,5,1,5.0,6,2.0,487617.4177,5881324.196,6,1,8,5,42,32,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,494259.0566,5879537.194,4,0,9,4,29,52,1.0,5.0,0.0
3,2,0,5,1,5.0,6,1.0,490494.4394,5880339.794,3,1,9,6,46,24,1.0,5.0,0.0
3,0,1,5,1,5.0,6,1.0,485756.4329,5882298.451,3,1,9,4,53,64,1.0,5.0,0.0
3,0,0,3,1,2.0,6,1.0,486142.2775,5881605.478999998,6,0,9,4,39,19,2.0,4.0,1.0
3,1,1,5,1,5.0,6,1.0,482809.1746,5878199.815,2,1,7,6,62,30,1.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,486272.4064,5883008.15,4,0,7,2,27,41,2.0,3.0,0.0
0,0,0,5,1,5.0,7,1.0,475914.9863,5893195.681,6,1,8,5,19,47,1.0,5.0,0.0
