OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,Hour,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,Longitude,Latitude
3223,2,1,11,129,2018,6,20,6,3,5,3,1,0,1,0,0,0,0,1,573041.4235,5934723.099,10.10262197,53.55630423
3224,2,7,1,701,2018,5,16,6,3,3,6,0,1,1,0,0,0,0,0,565060.475,5923610.701,9.979857201,53.45748316
3225,2,5,4,512,2018,5,11,3,3,2,6,0,0,1,0,0,0,0,0,575576.6929,5937841.732,10.14164048,53.58397181
3226,2,1,19,140,2018,5,13,5,3,2,6,0,0,1,0,1,0,0,0,560999.0084,5930007.687,9.919940736,53.51546221
3227,2,5,2,509,2018,5,7,3,3,5,3,0,1,0,0,0,0,1,0,571227.8024,5938373.239,10.07608182,53.58935716
3228,2,4,13,432,2018,5,15,3,3,5,7,0,0,1,0,0,0,0,0,566220.2499,5947287.406,10.00233976,53.67012606
3229,2,5,1,502,2018,5,8,4,3,5,3,0,0,1,0,0,0,0,0,569364.9918,5936435.072,10.04751369,53.57218853
3230,2,4,5,409,2018,5,23,5,3,5,7,2,0,1,0,0,0,0,0,566537.8259,5939362.708,10.005451,53.59886584
3231,2,4,6,415,2018,5,16,5,3,4,6,0,0,1,0,0,0,0,0,567673.4306,5935828.365,10.02184168,53.5669569
3232,2,5,15,523,2018,5,13,3,3,0,7,0,0,1,0,0,0,0,0,574208.6194,5950637.076,10.12403255,53.69915551
3233,2,2,4,214,2018,5,23,3,2,5,3,2,0,1,0,1,0,0,0,561336.3267,5933472.291,9.925706031,53.54656093
3234,2,4,12,431,2018,5,16,3,3,6,4,0,0,1,1,0,0,0,0,567776.9811,5942559.401,10.02486812,53.62743595
3235,2,2,5,217,2018,5,10,2,2,5,3,0,1,0,0,0,0,0,0,559444.1424,5936230.785,9.897677235,53.57157044
3236,2,4,12,431,2018,5,8,3,3,2,6,0,0,1,0,0,0,0,0,567878.1544,5942650.598,10.0264176,53.62824243
3237,2,2,5,215,2018,6,7,6,3,5,2,0,1,1,0,0,0,0,0,560773.6443,5937242.293,9.9179484,53.58050895
3238,2,4,8,422,2018,5,18,6,2,5,3,0,1,1,0,0,0,0,0,568596.0384,5936712.091,10.03596431,53.57477923
3239,2,4,5,409,2018,5,15,3,3,2,7,0,0,1,0,1,0,0,0,566205.8708,5938935.692,10.00034502,53.59507022
3240,2,1,16,137,2018,5,15,3,3,2,6,0,0,1,0,0,0,0,0,566362.5644,5930595.75,10.00094138,53.5200976
3241,2,2,2,207,2018,5,8,5,3,1,5,0,1,1,0,0,0,0,0,563874.963,5934943.543,9.96431464,53.55948088
3242,2,5,1,501,2018,5,17,3,3,2,6,0,0,1,0,0,0,0,0,568900.3179,5936207.667,10.04044753,53.57020605
3243,2,1,7,119,2018,5,11,2,3,3,6,0,0,0,0,1,0,1,0,568735.8509,5934229.941,10.03752936,53.5524536
3244,2,2,3,210,2018,5,18,4,3,5,3,0,1,1,0,0,0,0,0,562624.1867,5934662.139,9.945378247,53.55710252
3245,2,2,5,215,2018,5,13,5,2,3,6,0,1,0,0,0,1,0,0,561267.6243,5935821.215,9.925129748,53.5676797
3246,2,4,7,416,2018,5,12,3,3,3,6,0,0,1,0,0,0,0,0,567474.3531,5935603.21,10.01878758,53.56495904
3247,2,7,12,713,2018,5,15,2,3,2,6,0,0,1,0,0,1,0,0,559839.7028,5929786.987,9.902417227,53.51361191
3248,2,3,9,321,2018,5,14,3,2,6,4,0,0,1,1,0,0,0,0,562725.5346,5937542.553,9.947486485,53.58297767
3249,2,6,5,606,2018,6,19,7,3,8,1,0,0,0,0,1,0,0,0,580727.8687,5920633.689,10.21500308,53.42856179
